"Data","Último","Abertura","Máxima","Mínima","Var%"
"17.06.2025","5,302","5,302","5,302","5,302","-0,94%"
"16.06.2025","5,352","5,352","5,352","5,352","-1,97%"
"13.06.2025","5,459","5,459","5,459","5,354","1,97%"
"12.06.2025","5,354","5,354","5,354","5,354","1,76%"
"11.06.2025","5,261","5,261","5,277","5,261","-0,29%"
"10.06.2025","5,277","5,277","5,277","5,277","-0,70%"
"09.06.2025","5,314","5,314","5,314","5,314","-0,08%"
"06.06.2025","5,318","5,318","5,365","5,318","-0,88%"
"05.06.2025","5,365","5,365","5,365","5,365","-1,34%"
"04.06.2025","5,438","5,438","5,438","5,438","0,02%"
"03.06.2025","5,438","5,438","5,438","5,438","-1,02%"
"02.06.2025","5,493","5,493","5,493","5,493","2,26%"
"30.05.2025","5,372","5,372","5,372","5,368","0,08%"
"29.05.2025","5,368","5,368","5,368","5,368","-0,02%"
"28.05.2025","5,369","5,369","5,369","5,369","0,52%"
"27.05.2025","5,341","5,341","5,341","5,341","-2,19%"
"26.05.2025","5,461","5,461","5,461","5,461","-0,56%"
"23.05.2025","5,491","5,491","5,491","5,321","3,21%"
"22.05.2025","5,321","5,321","5,321","5,321","-0,89%"
"21.05.2025","5,369","5,369","5,369","5,369","0,81%"
"20.05.2025","5,326","5,326","5,326","5,326","1,66%"
"19.05.2025","5,239","5,239","5,239","5,193","0,87%"
"16.05.2025","5,193","5,193","5,193","5,193","-0,17%"
"15.05.2025","5,202","5,202","5,202","5,202","1,64%"
"14.05.2025","5,118","5,118","5,118","5,118","-2,11%"
"13.05.2025","5,228","5,228","5,228","5,228","-0,38%"
"12.05.2025","5,248","5,248","5,248","5,248","-2,96%"
"09.05.2025","5,408","5,408","5,408","5,408","0,54%"
"08.05.2025","5,379","5,379","5,379","5,379","-3,44%"
"07.05.2025","5,571","5,571","5,571","5,571","-0,62%"
"06.05.2025","5,606","5,606","5,606","5,606","4,30%"
"05.05.2025","5,375","5,375","5,375","5,375","2,67%"
"02.05.2025","5,235","5,235","5,235","5,235","-2,66%"
"30.04.2025","5,378","5,378","5,378","5,378","-0,19%"
"29.04.2025","5,388","5,388","5,388","5,388","-0,79%"
"28.04.2025","5,431","5,431","5,431","5,431","1,20%"
"25.04.2025","5,367","5,367","5,438","5,367","-1,31%"
"24.04.2025","5,438","5,438","5,438","5,438","1,40%"
"23.04.2025","5,363","5,363","5,363","5,363","-4,71%"
"22.04.2025","5,628","5,628","5,628","5,579","0,87%"
"17.04.2025","5,579","5,579","5,579","5,579","-0,97%"
"16.04.2025","5,634","5,634","5,634","5,634","3,41%"
"15.04.2025","5,448","5,448","5,448","5,448","0,92%"
"14.04.2025","5,398","5,398","5,398","5,398","-1,10%"
"11.04.2025","5,458","5,458","5,458","5,380","1,45%"
"10.04.2025","5,380","5,380","5,380","5,380","0,65%"
"09.04.2025","5,345","5,345","5,345","5,345","5,14%"
"08.04.2025","5,084","5,084","5,084","5,084","1,38%"
"07.04.2025","5,015","5,015","5,015","5,015","-0,17%"
"04.04.2025","5,023","5,023","5,023","5,023","0,20%"
"03.04.2025","5,013","5,013","5,013","5,013","-2,86%"
"02.04.2025","5,160","5,160","5,160","5,160","0,42%"
"01.04.2025","5,139","5,139","5,139","5,139","-0,78%"
"31.03.2025","5,179","5,179","5,179","5,179","0,75%"
"28.03.2025","5,141","5,141","5,141","5,085","1,10%"
"27.03.2025","5,085","5,085","5,085","5,085","1,52%"
"26.03.2025","5,009","5,009","5,009","5,009","0,43%"
"25.03.2025","4,987","4,987","4,987","4,987","-0,38%"
"24.03.2025","5,006","5,006","5,006","5,006","0,09%"
"21.03.2025","5,002","5,002","5,002","4,985","0,34%"
"20.03.2025","4,985","4,985","4,985","4,985","0,03%"
"19.03.2025","4,983","4,983","4,983","4,983","-0,34%"
"18.03.2025","5,000","5,000","5,000","5,000","0,75%"
"17.03.2025","4,962","4,962","4,962","4,962","-0,43%"
"14.03.2025","4,984","4,984","4,984","4,984","-0,92%"
"13.03.2025","5,030","5,030","5,030","5,030","1,29%"
"12.03.2025","4,966","4,966","4,966","4,966","0,77%"
"11.03.2025","4,928","4,928","4,928","4,928","1,47%"
"10.03.2025","4,856","4,856","4,856","4,856","-0,09%"
"07.03.2025","4,861","4,861","4,861","4,861","-0,08%"
"06.03.2025","4,865","4,865","4,865","4,865","-0,72%"
"05.03.2025","4,900","4,900","4,900","4,900","0,12%"
"26.02.2025","4,894","4,894","4,894","4,894","0,37%"
"25.02.2025","4,876","4,876","4,876","4,876","-0,62%"
"24.02.2025","4,906","4,906","4,906","4,906","0,75%"
